ID,DayClassification,DayClassificationID
1071,Weekday,1071
1072,Weekday,1072
1073,Weekday,1073
1074,Weekday,1074
1075,Weekday,1075
1076,Weekday,1076
1077,Weekday,1077
1078,Weekday,1078
1079,Weekday,1079
1080,Weekday,1080
1081,Weekday,1081
1082,Weekday,1082
1083,Weekday,1083
1084,Weekday,1084
1085,Weekday,1085
1086,Weekend,1086
1087,Weekend,1087
1088,Weekday,1088
1089,Weekday,1089
1090,Weekday,1090
1091,Weekday,1091
1092,Weekday,1092
1093,Weekday,1093
1094,Weekday,1094
1095,Weekday,1095
1096,Weekday,1096
1097,Weekday,1097
1098,Weekday,1098
1099,Weekend,1099
1100,Weekend,1100
1101,Weekend,1101
1102,Weekend,1102
1103,Weekend,1103
1104,Weekend,1104
1105,Weekend,1105
1106,Weekend,1106
1107,Weekend,1107
1108,Weekend,1108
1109,Weekend,1109
1110,Weekend,1110
1111,Weekend,1111
1112,Weekend,1112
1113,Weekend,1113
1114,Weekend,1114
1115,Weekend,1115
1116,Weekday,1116
1117,Weekday,1117
1118,Weekday,1118
1119,Weekday,1119
1120,Weekday,1120
1121,Weekday,1121
1122,Weekday,1122
1123,Weekday,1123
1124,Weekday,1124
1125,Weekday,1125
1126,Weekday,1126
1127,Weekday,1127
1128,Weekday,1128
1129,Weekday,1129
1130,Weekday,1130
1131,Weekday,1131
1132,Weekday,1132
1133,Weekday,1133
1134,Weekday,1134
1135,Weekday,1135
1136,Weekday,1136
1137,Weekday,1137
1138,Weekday,1138
1139,Weekday,1139
1140,Weekday,1140
1141,Weekday,1141
1142,Weekday,1142
1143,Weekday,1143
1144,Weekday,1144
1145,Weekday,1145
1146,Weekday,1146
1147,Weekday,1147
1148,Weekend,1148
1149,Weekend,1149
1150,Weekend,1150
1151,Weekend,1151
1152,Weekday,1152
1153,Weekday,1153
1154,Weekday,1154
1155,Weekday,1155
1156,Weekday,1156
1157,Weekday,1157
1158,Weekday,1158
1159,Weekday,1159
1160,Weekday,1160
1161,Weekday,1161
1162,Weekday,1162
1163,Weekend,1163
1164,Weekend,1164
1165,Weekend,1165
1166,Weekend,1166
1167,Weekend,1167
1168,Weekend,1168
1169,Weekend,1169
1170,Weekend,1170
1171,Weekend,1171
1172,Weekend,1172
1173,Weekend,1173
1174,Weekend,1174
1175,Weekend,1175
1176,Weekend,1176
1177,Weekend,1177
1178,Weekend,1178
1179,Weekend,1179
1180,Weekend,1180
1181,Weekend,1181
1182,Weekend,1182
1183,Weekend,1183
1184,Weekday,1184
1185,Weekday,1185
1186,Weekday,1186
1187,Weekday,1187
1188,Weekday,1188
1189,Weekday,1189
1190,Weekday,1190
1191,Weekday,1191
1192,Weekday,1192
1193,Weekday,1193
1194,Weekday,1194
1195,Weekday,1195
1196,Weekday,1196
1197,Weekday,1197
1198,Weekday,1198
1199,Weekday,1199
1200,Weekday,1200
1201,Weekday,1201
1202,Weekday,1202
1203,Weekday,1203
1204,Weekday,1204
1205,Weekday,1205
1206,Weekday,1206
1207,Weekday,1207
1208,Weekday,1208
1209,Weekday,1209
1210,Weekday,1210
1211,Weekday,1211
1212,Weekday,1212
1213,Weekday,1213
1214,Weekday,1214
1215,Weekday,1215
1216,Weekday,1216
1217,Weekday,1217
1218,Weekday,1218
1219,Weekday,1219
1220,Weekday,1220
1221,Weekday,1221
1222,Weekday,1222
1223,Weekday,1223
1224,Weekday,1224
1225,Weekday,1225
1226,Weekday,1226
1227,Weekday,1227
1228,Weekday,1228
1229,Weekday,1229
1230,Weekday,1230
1231,Weekday,1231
1232,Weekday,1232
1233,Weekday,1233
1234,Weekday,1234
1235,Weekday,1235
1236,Weekend,1236
1237,Weekend,1237
1238,Weekend,1238
1239,Weekend,1239
1240,Weekend,1240
1241,Weekend,1241
1242,Weekend,1242
1243,Weekday,1243
1244,Weekday,1244
1245,Weekday,1245
1246,Weekday,1246
1247,Weekday,1247
1248,Weekday,1248
1249,Weekday,1249
1250,Weekday,1250
1251,Weekday,1251
1252,Weekday,1252
1253,Weekday,1253
1254,Weekday,1254
1255,Weekend,1255
1256,Weekend,1256
1257,Weekend,1257
1258,Weekend,1258
1259,Weekend,1259
1260,Weekend,1260
1261,Weekend,1261
1262,Weekend,1262
1263,Weekend,1263
1264,Weekend,1264
1265,Weekend,1265
1266,Weekend,1266
1267,Weekend,1267
1268,Weekend,1268
1269,Weekend,1269
1270,Weekend,1270
1271,Weekend,1271
1272,Weekend,1272
1273,Weekend,1273
1274,Weekend,1274
1275,Weekend,1275
1276,Weekend,1276
1277,Weekend,1277
1278,Weekend,1278
1279,Weekend,1279
1280,Weekend,1280
1281,Weekend,1281
1282,Weekend,1282
1283,Weekend,1283
1284,Weekend,1284
1285,Weekend,1285
1286,Weekend,1286
1287,Weekend,1287
1288,Weekend,1288
1289,Weekend,1289
1290,Weekend,1290
1291,Weekend,1291
1292,Weekend,1292
1293,Weekend,1293
1294,Weekend,1294
1295,Weekday,1295
1296,Weekday,1296
1297,Weekday,1297
1298,Weekday,1298
1299,Weekday,1299
1300,Weekday,1300
1301,Weekday,1301
1302,Weekday,1302
1303,Weekday,1303
1304,Weekday,1304
1305,Weekday,1305
1306,Weekday,1306
1307,Weekday,1307
1308,Weekday,1308
1309,Weekday,1309
1310,Weekday,1310
1311,Weekday,1311
1312,Weekday,1312
1313,Weekday,1313
1314,Weekday,1314
1315,Weekday,1315
1316,Weekday,1316
1317,Weekday,1317
1318,Weekday,1318
1319,Weekday,1319
1320,Weekday,1320
1321,Weekday,1321
1322,Weekday,1322
1323,Weekday,1323
1324,Weekday,1324
1325,Weekday,1325
1326,Weekday,1326
1327,Weekday,1327
1328,Weekday,1328
1329,Weekday,1329
1330,Weekday,1330
1331,Weekday,1331
1332,Weekend,1332
1333,Weekend,1333
1334,Weekend,1334
1335,Weekend,1335
1336,Weekend,1336
1337,Weekend,1337
1338,Weekend,1338
1339,Weekend,1339
1340,Weekend,1340
1341,Weekend,1341
1342,Weekday,1342
1343,Weekday,1343
1344,Weekday,1344
1345,Weekday,1345
1346,Weekday,1346
1347,Weekday,1347
1348,Weekday,1348
1349,Weekend,1349
1350,Weekend,1350
1351,Weekend,1351
1352,Weekend,1352
1353,Weekend,1353
1354,Weekend,1354
1355,Weekend,1355
1356,Weekend,1356
1357,Weekend,1357
1358,Weekend,1358
1359,Weekend,1359
1360,Weekend,1360
1361,Weekend,1361
1362,Weekend,1362
1363,Weekend,1363
1364,Weekend,1364
1365,Weekend,1365
1366,Weekend,1366
1367,Weekend,1367
1368,Weekend,1368
1369,Weekend,1369
1370,Weekend,1370
1371,Weekend,1371
1372,Weekend,1372
1373,Weekday,1373
1374,Weekday,1374
1375,Weekday,1375
1376,Weekday,1376
1377,Weekday,1377
1378,Weekday,1378
1379,Weekday,1379
1380,Weekday,1380
1381,Weekday,1381
1382,Weekday,1382
1383,Weekday,1383
1384,Weekday,1384
1385,Weekday,1385
1386,Weekday,1386
1387,Weekday,1387
1388,Weekday,1388
1389,Weekday,1389
1390,Weekday,1390
1391,Weekday,1391
1392,Weekday,1392
1393,Weekday,1393
1394,Weekday,1394
1395,Weekday,1395
1396,Weekday,1396
1397,Weekday,1397
1398,Weekday,1398
1399,Weekday,1399
1400,Weekday,1400
